date_time_bucket, passenger_count
2012-06-08_05-00,3450
2012-06-08_05-30,4728
2012-06-08_06-00,7572
2012-06-08_06-30,11955
2012-06-08_07-00,15989
2012-06-08_07-30,20720
2012-06-08_08-00,22583
2012-06-08_08-30,22772
2012-06-08_09-00,22141
2012-06-08_09-30,21590
2012-06-08_10-00,20347
2012-06-08_10-30,20417
2012-06-08_11-00,20054
2012-06-08_11-30,20928
2012-06-08_12-00,21186
2012-06-08_12-30,20364
2012-06-08_13-00,20015
2012-06-08_13-30,20259
2012-06-08_14-00,21208
2012-06-08_14-30,21940
2012-06-08_15-00,20347
2012-06-08_15-30,17747
2012-06-08_16-00,15782
2012-06-08_16-30,14851
2012-06-08_17-00,17623
2012-06-08_17-30,21611
2012-06-08_18-00,24584
2012-06-08_18-30,26856
2012-06-08_19-00,28854
2012-06-08_19-30,29459
2012-06-08_20-00,27943
2012-06-08_20-30,27358
2012-06-08_21-00,27865
2012-06-08_21-30,27940
2012-06-08_22-00,28763
2012-06-08_22-30,29570
2012-06-08_23-00,30051
2012-06-08_23-30,29975
2012-06-09_00-00,29204
2012-06-09_00-30,27351
2012-06-09_01-00,25859
2012-06-09_01-30,23452
2012-06-09_02-00,21292
2012-06-09_02-30,18957
2012-06-09_03-00,16291
2012-06-09_03-30,13627
2012-06-09_04-00,11145
2012-06-09_04-30,6981
2012-06-09_05-00,4745
2012-06-09_05-30,3581
2012-06-09_06-00,3701
2012-06-09_06-30,4735
2012-06-09_07-00,6208
2012-06-09_07-30,7433
2012-06-09_08-00,7777
2012-06-09_08-30,11149
2012-06-09_09-00,12751
2012-06-09_09-30,16853
2012-06-09_10-00,17779
2012-06-09_10-30,20871
2012-06-09_11-00,20343
2012-06-09_11-30,21848
2012-06-09_12-00,21389
2012-06-09_12-30,22472
2012-06-09_13-00,24835
2012-06-09_13-30,21287
2012-06-09_14-00,20166
2012-06-09_14-30,20510
2012-06-09_15-00,20385
2012-06-09_15-30,20254
2012-06-09_16-00,18627
2012-06-09_16-30,18373
2012-06-09_17-00,21000
2012-06-09_17-30,24888
2012-06-09_18-00,24468
2012-06-09_18-30,24910
2012-06-09_19-00,27488
2012-06-09_19-30,27111
2012-06-09_20-00,24556
2012-06-09_20-30,24453
2012-06-09_21-00,24681
2012-06-09_21-30,25544
2012-06-09_22-00,26760
2012-06-09_22-30,28190
2012-06-09_23-00,30320
2012-06-09_23-30,31313
2012-06-10_00-00,29174
2012-06-10_00-30,27820
2012-06-10_01-00,28251
2012-06-10_01-30,24110
2012-06-10_02-00,22634
2012-06-10_02-30,20968
2012-06-10_03-00,18271
2012-06-10_03-30,16119
2012-06-10_04-00,12190
2012-06-10_04-30,7840
2012-06-10_05-00,5115
2012-06-10_05-30,3749
2012-06-10_06-00,3491
2012-06-10_06-30,4035
2012-06-10_07-00,4119
2012-06-10_07-30,5501
2012-06-10_08-00,6272
2012-06-10_08-30,8360
2012-06-10_09-00,10147
2012-06-10_09-30,12304
2012-06-10_10-00,14428
2012-06-10_10-30,16605
2012-06-10_11-00,16984
2012-06-10_11-30,18344
2012-06-10_12-00,18739
2012-06-10_12-30,19283
2012-06-10_13-00,18985
2012-06-10_13-30,19593
2012-06-10_14-00,20079
2012-06-10_14-30,19642
2012-06-10_15-00,18475
2012-06-10_15-30,18722
2012-06-10_16-00,17104
2012-06-10_16-30,16379
2012-06-10_17-00,17738
2012-06-10_17-30,19716
2012-06-10_18-00,20915
2012-06-10_18-30,20697
2012-06-10_19-00,20316
2012-06-10_19-30,19599
2012-06-10_20-00,17393
2012-06-10_20-30,17981
2012-06-10_21-00,17246
2012-06-10_21-30,17670
2012-06-10_22-00,17204
2012-06-10_22-30,15824
2012-06-10_23-00,15774
2012-06-10_23-30,13158
2012-06-11_00-00,10492
2012-06-11_00-30,8634
2012-06-11_01-00,6826
2012-06-11_01-30,5263
2012-06-11_02-00,4420
2012-06-11_02-30,3359
2012-06-11_03-00,2858
2012-06-11_03-30,2330
2012-06-11_04-00,2516
2012-06-11_04-30,2475
2012-06-11_05-00,2870
2012-06-11_05-30,4860
2012-06-11_06-00,7178
2012-06-11_06-30,12171
2012-06-11_07-00,15347
2012-06-11_07-30,18652
2012-06-11_08-00,20902
2012-06-11_08-30,21221
2012-06-11_09-00,20788
2012-06-11_09-30,19665
2012-06-11_10-00,17895
2012-06-11_10-30,17943
2012-06-11_11-00,17187
2012-06-11_11-30,19127
2012-06-11_12-00,18747
2012-06-11_12-30,19002
2012-06-11_13-00,18261
2012-06-11_13-30,19283
2012-06-11_14-00,19716
2012-06-11_14-30,20357
2012-06-11_15-00,20192
2012-06-11_15-30,19084
2012-06-11_16-00,17765
2012-06-11_16-30,17748
2012-06-11_17-00,19998
2012-06-11_17-30,23189
2012-06-11_18-00,25941
2012-06-11_18-30,26202
2012-06-11_19-00,26604
2012-06-11_19-30,25128
2012-06-11_20-00,23526
2012-06-11_20-30,22160
2012-06-11_21-00,23611
2012-06-11_21-30,23738
2012-06-11_22-00,22435
2012-06-11_22-30,20539
2012-06-11_23-00,17878
