date_time_bucket,passenger_count
2017-09-03 03:00,4969
2017-09-03 03:30,4276
2017-09-03 04:00,3487
2017-09-03 04:30,1947
2017-09-03 05:00,1435
2017-09-03 05:30,1280
2017-09-03 06:00,1402
2017-09-03 06:30,1932
2017-09-03 07:00,2158
2017-09-03 07:30,2500
2017-09-03 08:00,3056
2017-09-03 08:30,3661
2017-09-03 09:00,5235
2017-09-03 09:30,7229
2017-09-03 10:00,7152
2017-09-03 10:30,8036
2017-09-03 11:00,8149
2017-09-03 11:30,11365
2017-09-03 12:00,9746
2017-09-03 12:30,9077
2017-09-03 13:00,9512
2017-09-03 13:30,9575
2017-09-03 14:00,10362
2017-09-03 14:30,10245
2017-09-03 15:00,9976
2017-09-03 15:30,10332
2017-09-03 16:00,9950
2017-09-03 16:30,10354
2017-09-03 17:00,10343
2017-09-03 17:30,10837
2017-09-03 18:00,10145
2017-09-03 18:30,10764
2017-09-03 19:00,10179
2017-09-03 19:30,9737
2017-09-03 20:00,8786
2017-09-03 20:30,8653
2017-09-03 21:00,8783
2017-09-03 21:30,8764
2017-09-03 22:00,8594
2017-09-03 22:30,8328
2017-09-03 23:00,8198
2017-09-03 23:30,8733
2017-09-04 00:00,7908
2017-09-04 00:30,6462
2017-09-04 01:00,5472
2017-09-04 01:30,4867
2017-09-04 02:00,4085
2017-09-04 02:30,3686
2017-09-04 03:00,3127
2017-09-04 03:30,2886
2017-09-04 04:00,2598
2017-09-04 04:30,1801
2017-09-04 05:00,1427
2017-09-04 05:30,1429
2017-09-04 06:00,1991
2017-09-04 06:30,2282
2017-09-04 07:00,2389
2017-09-04 07:30,2943
2017-09-04 08:00,3305
2017-09-04 08:30,3888
2017-09-04 09:00,4637
2017-09-04 09:30,5891
2017-09-04 10:00,6582
2017-09-04 10:30,7305
2017-09-04 11:00,7641
2017-09-04 11:30,8559
2017-09-04 12:00,8928
2017-09-04 12:30,9326
2017-09-04 13:00,9239
2017-09-04 13:30,9776
2017-09-04 14:00,10753
2017-09-04 14:30,10734
2017-09-04 15:00,10525
2017-09-04 15:30,10590
2017-09-04 16:00,10576
2017-09-04 16:30,11024
2017-09-04 17:00,11174
2017-09-04 17:30,11406
2017-09-04 18:00,11623
2017-09-04 18:30,11661
2017-09-04 19:00,10831
2017-09-04 19:30,11003
2017-09-04 20:00,10512
2017-09-04 20:30,10459
2017-09-04 21:00,10359
2017-09-04 21:30,9827
2017-09-04 22:00,8590
2017-09-04 22:30,8266
2017-09-04 23:00,6534
2017-09-04 23:30,5751
2017-09-05 00:00,4766
2017-09-05 00:30,3165
2017-09-05 01:00,2291
2017-09-05 01:30,1720
2017-09-05 02:00,1319
2017-09-05 02:30,1130
2017-09-05 03:00,834
2017-09-05 03:30,852
2017-09-05 04:00,1005
2017-09-05 04:30,1256
2017-09-05 05:00,1535
2017-09-05 05:30,3109
2017-09-05 06:00,5013
2017-09-05 06:30,8101
2017-09-05 07:00,9321
2017-09-05 07:30,11431
2017-09-05 08:00,11502
2017-09-05 08:30,12638
2017-09-05 09:00,12197
2017-09-05 09:30,12062
2017-09-05 10:00,10932
2017-09-05 10:30,10991
2017-09-05 11:00,10574
2017-09-05 11:30,11333
2017-09-05 12:00,11538
2017-09-05 12:30,11364
2017-09-05 13:00,11427
2017-09-05 13:30,12381
2017-09-05 14:00,12373
2017-09-05 14:30,13131
2017-09-05 15:00,12496
2017-09-05 15:30,12493
2017-09-05 16:00,12066
2017-09-05 16:30,11852
2017-09-05 17:00,12789
