ar.L1.y,ar.L2.y,ma.L1.y,ma.L2.y,is_anomaly,window_label
0.010495921446976197,0.9894529413214577,1.7746673022712276,0.7751706959013909,0,55600-55999
0.0382886701298929,0.9615117737836504,1.7965032309206943,0.796891526813136,0,55800-56199
0.7302138903989215,0.26956805700824316,1.3651159256604957,0.5807706253328823,0,56000-56399
0.8291595414506334,0.17061505331259133,1.3029138219600924,0.5440964768021241,0,56200-56599
0.003921190162753274,0.9960641872371612,1.8158828213403817,0.8169580663124809,0,56400-56799
0.011863616665243826,0.9880470310756023,1.81311910111799,0.8156038990775312,0,56600-56999
0.0024560701001722363,0.9974583265853639,1.85208152613219,0.8521723338144582,0,56800-57199
0.024330301289137823,0.9754690884219388,1.7547006309609228,0.7639667705311541,0,57000-57399
0.018939624730371474,0.9809516767560775,1.7819799905841334,0.7902065944526389,0,57200-57599
0.02676028359835958,0.9730055903674777,1.7904041560533417,0.8030870824569865,0,57400-57799
6.108809176152974e-05,0.9999388375277812,1.7016736560061596,0.766233451906886,0,57600-57999
0.6974061598492041,0.30235113135848846,1.4086088656164968,0.6529206245066638,0,57800-58199
0.6586460092645257,0.3411092716643042,1.4492538764502423,0.653401948213183,0,58000-58399
0.0036361205524914064,0.9963516634537495,1.7416111493226327,0.7431496356983766,0,58200-58599
0.027003302979403787,0.9725208721036251,1.8069809199881408,0.8179466509948717,0,58400-58799
0.017736155273933796,0.9821583571582383,1.8070020463135152,0.817909613327413,0,58600-58999
0.024665560828355804,0.9752478190137871,1.812931072676277,0.8180784166197594,0,58800-59199
0.030260672662108523,0.9695116882835328,1.8077874018520599,0.8210829244323783,0,59000-59399
0.03177080335962723,0.9679637043195993,1.7782939722739335,0.78491250521272,0,59200-59599
0.030405849396744622,0.9693212918709729,1.4224691202330904,0.43334069906104283,0,59400-59799
0.03327899645579391,0.9664277510504482,1.4424717801061544,0.45575700846221257,0,59600-59999
